filepath,label,subject,source,media_type
data/left_swipe/video_001.mp4,left_swipe,team,team_recorded,video
data/left_swipe/video_002.mp4,left_swipe,team,team_recorded,video
data/left_swipe/video_003.mp4,left_swipe,team,team_recorded,video
data/raw/leapgestrecog/00/01_palm/frame_00_01_0001.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0002.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0003.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0004.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0005.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0006.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0007.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0008.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0009.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0010.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0011.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0012.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0013.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0014.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0015.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0016.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0017.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0018.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0019.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0020.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0021.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0022.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0023.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0024.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0025.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0026.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0027.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0028.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0029.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0030.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0031.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0032.png,palm,leap_00,leapgestrecog,image
data/raw/leapgestrecog/00/01_palm/frame_00_01_0033.png,palm,leap_00,leapgestrecog,image
