filepath,label,subject,source,media_type,split
data/left_swipe/video_001.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_002.mp4,left_swipe,team,team_recorded,video,test
data/left_swipe/video_003.mp4,left_swipe,team,team_recorded,video,val
data/left_swipe/video_004.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_005.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_006.mp4,left_swipe,team,team_recorded,video,val
data/left_swipe/video_007.mp4,left_swipe,team,team_recorded,video,val
data/left_swipe/video_008.mp4,left_swipe,team,team_recorded,video,test
data/left_swipe/video_009.mp4,left_swipe,team,team_recorded,video,test
data/left_swipe/video_010.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_011.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_012.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_013.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_014.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_015.mp4,left_swipe,team,team_recorded,video,test
data/left_swipe/video_016.mp4,left_swipe,team,team_recorded,video,test
data/left_swipe/video_017.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_018.mp4,left_swipe,team,team_recorded,video,test
data/left_swipe/video_019.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_020.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_021.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_022.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_023.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_024.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_025.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_026.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_027.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_028.mp4,left_swipe,team,team_recorded,video,val
data/left_swipe/video_029.mp4,left_swipe,team,team_recorded,video,train
data/left_swipe/video_030.mp4,left_swipe,team,team_recorded,video,train
data/raw/rgb_webcam/down/IMG_4831.JPG,down,team_rgb,rgb_webcam,image,val
data/raw/rgb_webcam/down/IMG_4832.JPG,down,team_rgb,rgb_webcam,image,test
data/raw/rgb_webcam/down/IMG_4833.JPG,down,team_rgb,rgb_webcam,image,train
data/raw/rgb_webcam/down/IMG_4834.JPG,down,team_rgb,rgb_webcam,image,val
data/raw/rgb_webcam/down/IMG_4835.JPG,down,team_rgb,rgb_webcam,image,val
data/raw/rgb_webcam/down/IMG_4836.JPG,down,team_rgb,rgb_webcam,image,train
data/raw/rgb_webcam/down/IMG_4837.JPG,down,team_rgb,rgb_webcam,image,test
data/raw/rgb_webcam/down/IMG_4838.JPG,down,team_rgb,rgb_webcam,image,val
data/raw/rgb_webcam/down/IMG_4839.JPG,down,team_rgb,rgb_webcam,image,train
data/raw/rgb_webcam/down/IMG_4840.JPG,down,team_rgb,rgb_webcam,image,train
data/raw/rgb_webcam/down/IMG_4841.JPG,down,team_rgb,rgb_webcam,image,train
data/raw/rgb_webcam/down/IMG_4842.JPG,down,team_rgb,rgb_webcam,image,train
data/raw/rgb_webcam/down/IMG_4843.JPG,down,team_rgb,rgb_webcam,image,train
